2026-02-02 00:51:29,054 - INFO - 开始导入所有股票数据（年份: [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]）
2026-02-02 00:51:29,138 - INFO - 发现 5112 只股票
2026-02-02 00:51:30,218 - INFO - 已缓存 0 只股票，需要导入 5112 只股票
2026-02-02 00:51:31,305 - INFO - 开始分批导入数据，共 103 批
2026-02-02 00:51:31,305 - INFO - 处理第 1/103 批: 0-50
2026-02-02 00:51:34,614 - ERROR - 处理股票 sh600516 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,617 - ERROR - 处理股票 sz002124 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,620 - ERROR - 处理股票 sh600763 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,625 - ERROR - 处理股票 sh600022 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,630 - ERROR - 处理股票 sz002627 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,631 - ERROR - 处理股票 sh688981 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,636 - ERROR - 处理股票 sz300177 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,644 - ERROR - 处理股票 sz002481 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,652 - ERROR - 处理股票 sh688549 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,669 - ERROR - 处理股票 sh603080 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,696 - ERROR - 处理股票 sh601121 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,701 - ERROR - 处理股票 sz300846 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,702 - ERROR - 处理股票 sh600616 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,706 - ERROR - 处理股票 sz000529 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,723 - ERROR - 处理股票 sz301565 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,738 - INFO - 处理第 5/103 批: 200-250
2026-02-02 00:51:35,240 - ERROR - 处理股票 sz002760 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,241 - ERROR - 处理股票 sh600336 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,268 - ERROR - 处理股票 sz300945 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,273 - ERROR - 处理股票 sh688363 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,274 - ERROR - 处理股票 sh688128 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,278 - ERROR - 处理股票 sh600199 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,279 - ERROR - 处理股票 sz000722 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,285 - ERROR - 处理股票 sz002170 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,291 - ERROR - 处理股票 sh603328 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,295 - ERROR - 处理股票 sz301360 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,296 - ERROR - 处理股票 sz300708 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,297 - ERROR - 处理股票 sh600699 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:35,302 - ERROR - 处理股票 sh600538 时出错: Expected file path name or file-like object, got <class 'bytes'> type
